iter	MultiRMSE
0	0.990700668
1	0.9563435447
2	0.9258919944
3	0.8964799593
4	0.8663327382
5	0.8381546683
6	0.8106028719
7	0.788565878
8	0.7660266598
9	0.7440414874
10	0.7229745621
11	0.7035196619
12	0.6845606035
13	0.666471019
14	0.6495133641
15	0.6342267738
16	0.6196856735
17	0.6050272735
18	0.5896749685
19	0.5740849304
20	0.5613450263
21	0.5504031441
22	0.5384721126
23	0.5274339341
24	0.5181831213
25	0.5086194409
26	0.5013553539
27	0.492283376
28	0.4810342437
29	0.4749959093
30	0.4688277874
31	0.4609159952
32	0.4534476787
33	0.4453238334
34	0.4384345632
35	0.4321711932
36	0.425029706
37	0.4213476235
38	0.4160955685
39	0.4117899064
40	0.4075759454
41	0.3999642546
42	0.3958303589
43	0.390158828
44	0.386438093
45	0.3818642888
46	0.3774762351
47	0.3734962799
48	0.3702387171
49	0.3677795772
50	0.3655639274
51	0.3595630868
52	0.3569373717
53	0.3536643981
54	0.3501206766
55	0.348411412
56	0.3458268324
57	0.3434293716
58	0.3403507238
59	0.3378969362
60	0.3366406192
61	0.3338402515
62	0.3308540343
63	0.3290665911
64	0.3264831224
65	0.3246218355
66	0.3207158588
67	0.3190390541
68	0.3158596622
69	0.3143068854
70	0.310134939
71	0.309100386
72	0.307571536
73	0.3057045324
74	0.303994028
75	0.3007799847
76	0.2993342821
77	0.2978951619
78	0.2966999253
79	0.2948461777
80	0.2940856191
81	0.2923629216
82	0.2912528523
83	0.2908121058
84	0.2887836724
85	0.2875279638
86	0.285460177
87	0.2825914606
88	0.2802316094
89	0.2794686713
90	0.2775437081
91	0.2764744924
92	0.2745027458
93	0.2723767364
94	0.2718508735
95	0.2706069631
96	0.2699003471
97	0.2688604753
98	0.2673025556
99	0.2658124342
100	0.2642742527
101	0.2636825796
102	0.2632014124
103	0.2627577138
104	0.2616774599
105	0.2606593012
106	0.2585660419
107	0.2582258517
108	0.2570618997
109	0.25585558
110	0.2541234287
111	0.2522386675
112	0.2511809563
113	0.2503668505
114	0.2500588735
115	0.249580839
116	0.2493676313
117	0.2482185345
118	0.2480416092
119	0.2471403572
120	0.2469032561
121	0.2459031953
122	0.2446368262
123	0.2434635366
124	0.2413413234
125	0.2392835595
126	0.238797604
127	0.2386084381
128	0.2362321509
129	0.2350751597
130	0.2344950882
131	0.2325514162
132	0.2317761769
133	0.2313418609
134	0.2296871239
135	0.2278096086
136	0.2269179711
137	0.226074907
138	0.2254250132
139	0.223993302
140	0.2235456092
141	0.2230310506
142	0.2224712389
143	0.2219746465
144	0.2218961231
145	0.2214434234
146	0.2199649077
147	0.2189267355
148	0.2172996218
149	0.217041085
150	0.2159632807
151	0.2151594528
152	0.2138337827
153	0.2136592078
154	0.212891274
155	0.2116655917
156	0.2113594022
157	0.210906056
158	0.2106994846
159	0.2104290302
160	0.2099438955
161	0.208776636
162	0.2083409101
163	0.2075878001
164	0.2073495768
165	0.2064696362
166	0.206079383
167	0.2052523264
168	0.2045536028
169	0.2044017228
170	0.2039522318
171	0.2038271776
172	0.2024944081
173	0.2018181594
174	0.2009688764
175	0.200661284
176	0.1999092882
177	0.1989532306
178	0.1983598565
179	0.1981684125
180	0.1972514395
181	0.1966155991
182	0.1964188895
183	0.1963024385
184	0.1953861302
185	0.1948163089
186	0.1947051592
187	0.1941611962
188	0.1935689929
189	0.1932022213
190	0.192718637
191	0.1919588078
192	0.1916757632
193	0.1910329672
194	0.1906489927
195	0.1902552882
196	0.1899451923
197	0.1893162313
198	0.1888676094
199	0.1887777179
200	0.1881029781
201	0.1876053042
202	0.1867209156
203	0.1865602093
204	0.1859706686
205	0.1852861742
206	0.1845049024
207	0.1838928643
208	0.1837557734
209	0.1832882129
210	0.1831377359
211	0.1827323374
212	0.1820826936
213	0.1815505486
214	0.1810016697
215	0.1807122666
216	0.180411968
217	0.1801308215
218	0.1798165787
219	0.1796577381
220	0.1790846868
221	0.1789005824
222	0.1782388371
223	0.1780740563
224	0.1778331894
225	0.1775314079
226	0.1772559581
227	0.1771724076
228	0.1767336663
229	0.1765792705
230	0.1763080476
231	0.1757169207
232	0.1754998242
233	0.1749207842
234	0.174387525
235	0.1741007449
236	0.1736467338
237	0.1733990213
238	0.1728353522
239	0.1723905306
240	0.1721849627
241	0.1720135644
242	0.1718585734
243	0.1712692475
244	0.1711941362
245	0.1710842001
246	0.1707581076
247	0.1704182822
248	0.1701816005
249	0.1698805286
250	0.1698048804
251	0.1696031139
252	0.1693724456
253	0.1691452305
254	0.1690341983
255	0.1685598338
256	0.168347433
257	0.1678697288
258	0.1677290703
259	0.167269618
260	0.1670409859
261	0.1667654946
262	0.1661226453
263	0.1658952975
264	0.1657084571
265	0.1650972593
266	0.1647699103
267	0.1645070923
268	0.1640234956
269	0.1636167072
270	0.1634516046
271	0.1630500471
272	0.1629045798
273	0.162346549
274	0.1621076543
275	0.1620137925
276	0.1615460525
277	0.161398654
278	0.1610633881
279	0.1609715994
280	0.1607386721
281	0.1606113967
282	0.1605036166
283	0.1601418856
284	0.1600166928
285	0.1596254541
286	0.1595272734
287	0.1590545728
288	0.1589961036
289	0.15873308
290	0.1584387213
291	0.1582573087
292	0.1581048892
293	0.1579928728
294	0.1578467606
295	0.1574707323
296	0.1571873495
297	0.1567982524
298	0.1566519006
299	0.1565575654
300	0.1563849665
301	0.1561227497
302	0.1559225446
303	0.1554790661
304	0.1552829262
305	0.1550388969
306	0.1547384576
307	0.1544523968
308	0.1541697091
309	0.1538911138
310	0.153788382
311	0.1536390036
312	0.1535520856
313	0.1534045938
314	0.1532009152
315	0.1530149946
316	0.1529305507
317	0.1526757053
318	0.152417538
319	0.1522496084
320	0.1521276669
321	0.1518377895
322	0.151632844
323	0.1514939357
324	0.1511343957
325	0.1510018038
326	0.1508844191
327	0.1505158973
328	0.1503397426
329	0.1502003246
330	0.1498538557
331	0.1496321881
332	0.1494717174
333	0.1492387867
334	0.1491527609
335	0.1488292379
336	0.148698067
337	0.1486045715
338	0.1482896136
339	0.1482414998
340	0.1480744317
341	0.1478462194
342	0.1477494187
343	0.147457522
344	0.1474235362
345	0.1472708505
346	0.1471642889
347	0.1470167386
348	0.1469053656
349	0.1468498289
350	0.1468050378
351	0.1466637904
352	0.1464306268
353	0.1462170897
354	0.1460790786
355	0.1457927966
356	0.1457373244
357	0.1457128625
358	0.1455016295
359	0.1452507263
360	0.1449339476
361	0.1447062052
362	0.1445074358
363	0.1443617173
364	0.1442055773
365	0.1440868801
366	0.1439044221
367	0.1437559518
368	0.1436688417
369	0.143653301
370	0.1435763054
371	0.143509737
372	0.1434242358
373	0.1433765256
374	0.1432865996
375	0.1431680607
376	0.143080485
377	0.1429744237
378	0.1429330487
379	0.1427055763
380	0.1425051824
381	0.1423930609
382	0.1422969283
383	0.1422086386
384	0.142082032
385	0.1419669245
386	0.1418018509
387	0.141570738
388	0.1414357271
389	0.1413896434
390	0.1410713867
391	0.1409798054
392	0.1408625349
393	0.1406933747
394	0.140514052
395	0.1404025949
396	0.1403612937
397	0.1401969645
398	0.1401485085
399	0.1401032004
400	0.1399272284
401	0.1398470147
402	0.1397192928
403	0.1395866669
404	0.1394396646
405	0.1393171453
406	0.1392195782
407	0.1390770803
408	0.1389920043
409	0.1389698167
410	0.1389082495
411	0.1387234797
412	0.1386775328
413	0.1384790648
414	0.1383394122
415	0.1382714762
416	0.1382262686
417	0.1380594729
418	0.1379252913
419	0.1378828692
420	0.1376576459
421	0.1375804677
422	0.1374976221
423	0.1373926642
424	0.1371813253
425	0.1371098698
426	0.1370071112
427	0.1369288908
428	0.1367169336
429	0.1365898615
430	0.1363999069
431	0.1363024225
432	0.1360535731
433	0.1359512342
434	0.1358450206
435	0.1356882381
436	0.1355550196
437	0.1354129416
438	0.1353502336
439	0.1352614167
440	0.1351876338
441	0.1350984926
442	0.1350820589
443	0.1350289559
444	0.1348506469
445	0.1347764781
446	0.1346209621
447	0.1344739711
448	0.1343685122
449	0.1341980756
450	0.1340817128
451	0.133946043
452	0.1338585477
453	0.1336953652
454	0.1335188586
455	0.1334743141
456	0.133400066
457	0.1332866583
458	0.1331418744
459	0.1330582643
460	0.1330019865
461	0.1328774844
462	0.1327664321
463	0.1326568193
464	0.1326157403
465	0.1324831892
466	0.1323306069
467	0.1322529967
468	0.1321801966
469	0.1320994594
470	0.131947061
471	0.1317629668
472	0.1316564067
473	0.1315075478
474	0.1314103045
475	0.1312962224
476	0.1311907565
477	0.1311428873
478	0.1310682917
479	0.1309742547
480	0.1308963744
481	0.1307076134
482	0.1306449163
483	0.1305247701
484	0.1304608379
485	0.1303323564
486	0.1302313421
487	0.1300610922
488	0.1298914571
489	0.129871855
490	0.1297707938
491	0.1296969021
492	0.1296393205
493	0.1295687953
494	0.1295173909
495	0.1293516535
496	0.1292375978
497	0.1291298818
498	0.1290619633
499	0.128973942
